nama_provinsi,bps_nama_kabupaten_kota,bps_nama_kecamatan,bps_nama_desa_kelurahan,jumlah_petani,tahun
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,WANAHERANG,2,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,BOJONG KULUR,1,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CIANGSANA,0,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,GUNUNG PUTRI,0,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,BOJONG NANGKA,20,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,TLAJUNG UDIK,0,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CICADAS,45,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,CIKEAS UDIK,70,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,NAGRAK,0,2019
JAWA BARAT,KABUPATEN BOGOR,GUNUNG PUTRI,KARANGGAN,0,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,PUSPASARI,0,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,CITEUREUP,1,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,LEUWINUTUG,0,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TAJUR,40,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,SANJA,7,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,KARANG ASEM TIMUR,0,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TARIKOLOT,0,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,GUNUNGSARI,0,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,TANGKIL,0,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,SUKAHATI,8,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,HAMBALANG,12,2019
JAWA BARAT,KABUPATEN BOGOR,CITEUREUP,PASIRMUKTI,35,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,GUNUNGGEULIS,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CILEBUT TIMUR,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CILEBUT BARAT,88,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CIBANON,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,NAGRAK,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,SUKATANI,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,SUKARAJA,5,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CIKEAS,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,PASIR JAMBU,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CIMANDALA,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CIJUJUNG,0,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,CADASNGAMPAR,12,2019
JAWA BARAT,KABUPATEN BOGOR,SUKARAJA,PASIRLAJA,120,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,CIJAYANTI,251,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,SUMURBATU,2,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,SENTUL,0,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,KARANGTENGAH,0,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,CIPAMBUAN,0,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,KADUMANGGU,0,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,CITARINGGUL,0,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,BABAKAN MADANG,62,2019
JAWA BARAT,KABUPATEN BOGOR,BABAKAN MADANG,BOJONG KONENG,0,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,SUKAMAJU,50,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,SIRNAGALIH,50,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,SINGAJAYA,45,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,SUKASIRNA,0,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,SUKANEGARA,132,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,SUKAMANAH,0,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,WENINGGALIH,88,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,CIBODAS,63,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,JONGGOL,0,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,BENDUNGAN,331,2019
JAWA BARAT,KABUPATEN BOGOR,JONGGOL,SINGASARI,500,2019
